id,name,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
1,John,0,0,0,"((1992, 'food'), 72)",0,0,"((2017, 'fantasy'), 10)",0,0,"((1973, 'mature'), 63)"
2,William,0,"((1975, 'harem'), 95)",0,"((1997, 'adult'), 69)",0,"((1987, 'magic'), 3)","((1994, 'scifi'), 81)",0,"((1982, 'one shot'), 80)","((2011, 'adult'), 72)"
3,James,"((1998, 'ecchi'), 89)","((1994, 'martial arts'), 68)",0,0,0,0,"((1999, 'police'), 63)",0,0,0
4,Charles,0,"((2008, 'one shot'), 6)","((1978, 'kids'), 8)","((1978, 'harem'), 84)","((1978, '4-koma'), 31)",0,"((1981, 'parody'), 98)",0,"((2019, 'food'), 25)",0
5,George,"((1975, 'isekai'), 92)",0,0,"((2008, 'magic'), 41)",0,0,"((1990, 'horror'), 32)","((1999, 'mature'), 73)","((1984, 'martial arts'), 45)","((1979, 'yaoi'), 68)"
6,Frank,0,0,"((1997, 'yaoi'), 40)",0,"((2006, 'doujinshi'), 10)",0,"((1979, 'magic'), 89)","((1985, 'adventure'), 76)","((2000, 'adventure'), 46)","((1995, 'josei'), 29)"
7,Joseph,"((1996, 'yaoi'), 30)","((1995, 'shoujo'), 33)","((2009, 'harem'), 98)","((2005, 'harem'), 69)","((1995, 'yaoi'), 44)","((2019, 'yuri'), 12)",0,0,0,"((1990, 'ecchi'), 15)"
8,Thomas,"((1997, 'historical'), 51)",0,"((1980, 'harem'), 66)",0,"((1997, 'mature'), 20)",0,0,0,0,"((1978, 'sounen'), 99)"
9,Henry,0,0,"((2005, 'one shot'), 66)","((1984, 'action'), 8)",0,"((2005, 'magic'), 91)","((1979, 'demons'), 29)",0,0,0
10,Robert,"((2006, 'mature'), 44)",0,0,0,0,"((1970, 'adult'), 45)","((1994, 'drama'), 87)",0,"((1976, 'sounen'), 56)",0
11,Edward,"((1996, 'horror'), 70)","((2015, 'music'), 32)",0,0,"((2013, 'food'), 78)","((1978, 'scifi'), 91)","((1994, 'action'), 2)",0,0,0
12,Harry,0,0,0,"((1979, 'drama'), 100)",0,0,"((2016, 'yuri'), 8)","((2016, 'magic'), 34)","((2001, 'demons'), 23)","((1999, 'mature'), 56)"
13,Walter,"((1982, 'yuri'), 94)",0,"((2014, 'demons'), 52)",0,0,0,"((1972, 'isekai'), 82)","((1987, '4-koma'), 4)",0,"((1999, 'one shot'), 49)"
14,Arthur,"((2006, 'music'), 8)","((2011, 'kids'), 54)","((2007, 'ecchi'), 60)",0,"((1987, 'historical'), 82)","((1979, 'school'), 20)","((1989, 'adult'), 30)",0,"((1971, 'yaoi'), 48)",0
15,Fred,"((1980, '4-koma'), 16)","((2010, 'one shot'), 14)",0,"((2004, 'food'), 76)",0,0,0,0,"((2017, 'adventure'), 25)","((1997, 'magic'), 99)"
16,Albert,0,"((1998, 'josei'), 95)","((1986, 'parody'), 34)",0,0,"((1994, 'martial arts'), 59)",0,"((1993, 'mature'), 38)","((2014, 'horror'), 7)","((1994, 'historical'), 95)"
17,Samuel,0,0,0,0,"((1982, 'demons'), 100)","((2010, 'kids'), 3)",0,"((2003, 'historical'), 43)","((1975, 'kids'), 63)","((1992, 'parody'), 5)"
18,David,"((1972, 'vampire'), 20)","((1974, 'doujinshi'), 11)","((1981, 'doujinshi'), 70)","((2018, 'school'), 57)","((1986, 'kids'), 53)","((1999, 'yaoi'), 86)","((1975, 'yaoi'), 11)",0,"((1988, 'isekai'), 26)",0
19,Louis,"((2019, '4-koma'), 71)",0,"((2012, 'historical'), 17)","((2006, 'action'), 20)","((1999, 'harem'), 37)","((1977, 'scifi'), 49)",0,"((1998, 'mecha'), 8)",0,"((2011, 'adult'), 26)"
20,Joe,0,"((2001, 'kids'), 81)",0,"((1973, 'fantasy'), 68)","((2010, 'police'), 63)",0,0,0,0,0
21,Charlie,0,"((1993, 'school'), 92)",0,"((1995, 'vampire'), 8)","((2006, 'martial arts'), 67)",0,"((2008, 'gender bender'), 37)",0,"((1975, 'drama'), 27)","((1984, 'food'), 71)"
22,Clarence,"((1975, 'gender bender'), 94)","((2014, 'mature'), 9)","((2005, 'horror'), 42)",0,0,0,"((2019, 'yuri'), 86)",0,"((1972, 'yuri'), 75)",0
23,Richard,"((1992, 'vampire'), 84)","((1988, 'music'), 33)","((1973, 'food'), 57)","((1973, 'food'), 79)",0,"((2014, 'yuri'), 48)",0,"((2001, '4-koma'), 21)","((1994, 'police'), 100)","((1997, 'martial arts'), 69)"
24,Andrew,"((1975, 'vampire'), 96)",0,"((1976, 'action'), 92)","((1989, 'harem'), 88)",0,"((1983, 'drama'), 14)",0,0,"((1980, 'horror'), 44)","((1982, 'mecha'), 66)"
25,Daniel,"((1970, 'adult'), 18)","((1975, 'yaoi'), 20)","((2009, 'doujinshi'), 92)",0,"((1985, 'adventure'), 92)",0,0,"((1982, 'historical'), 88)","((2010, 'adult'), 87)","((1985, 'demons'), 39)"
26,Ernest,0,0,"((2009, 'mature'), 30)","((1985, 'adult'), 40)","((1983, 'magic'), 56)",0,0,"((2013, 'demons'), 54)",0,0
27,Will,0,"((1986, 'mecha'), 22)",0,0,0,"((1970, 'yaoi'), 9)","((1991, 'mecha'), 9)",0,0,0
28,Jesse,0,0,0,"((1998, 'sounen'), 72)",0,0,"((2006, 'parody'), 4)",0,0,"((1982, 'ecchi'), 45)"
